customer_id,age,gender,subscription_tenure_months,monthly_charges,num_support_tickets,payment_method,plan,region,churn
CUST1000,56,Female,41,36.99,0,Bank Transfer,Standard,South,1
CUST1001,46,Male,6,76.89,2,PayPal,Standard,South,1
CUST1002,32,Male,25,14.33,0,Credit Card,Premium,West,0
CUST1003,60,Female,13,91.26,1,Bank Transfer,Premium,West,1
CUST1004,25,Male,53,86.7,0,Bank Transfer,Basic,East,0
CUST1005,38,Female,34,70.1,3,PayPal,Basic,South,1
CUST1006,56,Male,8,63.39,2,Credit Card,Standard,South,0
CUST1007,36,Female,21,90.31,1,Credit Card,Premium,North,0
CUST1008,40,Female,34,26.68,1,Credit Card,Premium,North,0
CUST1009,28,Male,4,17.11,3,Bank Transfer,Premium,North,1
CUST1010,28,Male,25,31.56,1,PayPal,Standard,East,0
CUST1011,41,Male,15,81.51,1,PayPal,Standard,West,0
CUST1012,53,Male,4,13.12,1,Credit Card,Basic,East,0
CUST1013,57,Non-Binary,45,62.45,2,Bank Transfer,Basic,South,0
CUST1014,41,Male,60,99.59,1,Credit Card,Standard,West,0
CUST1015,20,Female,12,87.01,0,PayPal,Standard,North,0
CUST1016,39,Male,32,56.93,1,Bank Transfer,Standard,East,0
CUST1017,19,Female,32,15.73,2,Credit Card,Standard,East,1
CUST1018,41,Female,28,84.82,1,Credit Card,Basic,North,1
CUST1019,61,Female,13,63.91,0,Bank Transfer,Standard,East,0
CUST1020,47,Female,31,20.34,5,PayPal,Basic,North,1
CUST1021,55,Male,14,18.45,2,Bank Transfer,Standard,South,1
CUST1022,19,Male,20,91.87,0,Credit Card,Standard,West,1
CUST1023,38,Non-Binary,18,70.23,3,Credit Card,Standard,South,0
CUST1024,50,Female,29,84.64,3,Credit Card,Premium,South,0
CUST1025,29,Non-Binary,60,89.11,0,Credit Card,Basic,North,0
CUST1026,39,Male,6,61.46,2,PayPal,Standard,East,0
CUST1027,61,Female,32,56.57,1,PayPal,Standard,South,0
CUST1028,42,Non-Binary,29,48.74,1,Credit Card,Standard,South,0
